#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Date Time: 2024-10-18 15:45:38.222
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.4 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2.55 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2.5 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.009077708333333333,2.109593842428625,0.023712028367747
-0.009075208333333334,2.105952320982147,0.023712028367747
-0.009072708333333332,2.102972894344116,0.02404367927730117
-0.009070208333333333,2.099993467706089,0.02338037745819192
-0.009067708333333334,2.096682993663836,0.023712028367747
-0.009065208333333335,2.093372519621581,0.023712028367747
-0.009062708333333332,2.090724140387775,0.023712028367747
-0.009060208333333333,2.087082618941297,0.02371202836774685
-0.009057708333333334,2.084434239707495,0.02338037745819177
-0.009055208333333332,2.080792718261012,0.02338037745819177
-0.009052708333333333,2.07748224421876,0.02338037745819177
-0.009050208333333334,2.074502817580731,0.02338037745819177
-0.009047708333333335,2.071854438346929,0.02338037745819177
-0.009045208333333332,2.068875011708897,0.02338037745819117
-0.009042708333333333,2.065564537666645,0.02271707563908221
-0.009040208333333334,2.062254063624392,0.023712028367747
-0.009037708333333335,2.058943589582139,0.02470698109641133
-0.009035208333333333,2.057288352561015,2.44774852630735
-0.009032708333333334,2.061923016220169,4.964978929827318
-0.009030208333333335,2.066888727283548,4.953702798902453
-0.009027708333333332,2.071523390942708,4.950054638897347
-0.009025208333333333,2.076158054601862,4.948396384349573
-0.009022708333333334,2.080792718261015,4.947401431620909
-0.009020208333333335,2.085427381920169,4.946406478892245
-0.009017708333333332,2.090393092983557,4.945411526163578
-0.009015208333333333,2.09502775664271,4.944748224344469
-0.009012708333333334,2.099000325493413,4.944084922525359
-0.009010208333333332,2.103966036556799,4.94342162070625
-0.009007708333333333,2.108600700215952,4.94342162070625
-0.009005208333333334,2.112573269066655,4.94275831888714
-0.009002708333333335,2.116876885321586,4.94275831888714
-0.009000208333333332,2.121842596384971,4.942426667977585
-0.008997708333333333,2.126146212639899,4.94209501706803
-0.008995208333333334,2.130449828894828,4.94209501706803
-0.008992708333333335,2.134422397745531,4.941431715248919
-0.008990208333333333,2.139057061404691,4.941431715248919
-0.008987708333333334,2.143360677659622,4.941431715248919
-0.008985208333333335,2.147995341318775,4.941763366158474
-0.008982708333333332,2.152630004977935,4.941431715248919
-0.008980208333333333,2.156933621232863,4.941100064339365
-0.008977708333333334,2.160906190083566,4.941431715248919
-0.008975208333333335,2.165209806338495,4.94076841342981
-0.008972708333333333,2.169513422593432,4.941100064339365
-0.008970208333333334,2.174148086252586,4.941100064339365
-0.008967708333333334,2.178782749911739,4.941100064339365
-0.008965208333333332,2.182755318762448,4.94076841342981
-0.008962708333333333,2.187058935017376,4.941100064339365
-0.008960208333333334,2.19103150386808,4.941100064339365
-0.008957708333333335,2.19533512012301,4.941431715248919
-0.008955208333333332,2.199969783782169,4.941431715248919
-0.008952708333333333,2.203611305228647,4.941431715248919
-0.008950208333333334,2.207914921483576,4.941100064339365
-0.008947708333333332,2.21221853773851,4.941431715248919
-0.008945208333333333,2.216191106589214,4.941431715248919
-0.008942708333333334,2.220825770248369,4.941431715248919
-0.008940208333333335,2.224798339099072,4.941431715248919
-0.008937708333333332,2.229433002758231,4.941763366158474
-0.008935208333333333,2.23307452420471,4.941763366158474
-0.008932708333333334,2.237709187863864,4.941763366158474
-0.008930208333333335,2.242012804118792,4.942426667977585
-0.008927708333333333,2.245654325565278,4.94209501706803
-0.008925208333333334,2.249957941820206,4.942426667977585
-0.008922708333333335,2.254261558075135,4.942426667977585
-0.008920208333333332,2.258565174330069,4.942426667977585
-0.008917708333333333,2.262868790584997,4.942426667977585
-0.008915208333333334,2.266841359435701,4.94275831888714
-0.008912708333333335,2.270813928286404,4.943089969796695
-0.008910208333333332,2.274786497137114,4.942426667977585
-0.008907708333333333,2.279090113392042,4.94275831888714
-0.008905208333333334,2.28273163483852,4.943089969796695
-0.008902708333333332,2.28736629849768,4.94275831888714
-0.008900208333333333,2.291338867348383,4.94275831888714
-0.008897708333333334,2.295642483603312,4.943089969796695
-0.008895208333333335,2.299284005049791,4.94342162070625
-0.008892708333333332,2.303587621304725,4.943089969796695
-0.008890208333333333,2.307229142751204,4.94342162070625
-0.008887708333333334,2.311863806410357,4.94342162070625
-0.008885208333333332,2.31550532785684,4.94342162070625
-0.008882708333333333,2.319477896707544,4.943753271615805
-0.008880208333333334,2.324443607770925,4.943753271615805
-0.008877708333333335,2.328085129217403,4.944084922525359
-0.008875208333333332,2.331726650663886,4.943421620706251
-0.008872708333333333,2.335699219514589,4.944084922525359
-0.008870208333333334,2.339340740961067,4.944084922525359
-0.008867708333333335,2.343644357215996,4.944084922525359
-0.008865208333333333,2.347616926066706,4.943753271615805
-0.008862708333333334,2.351589494917409,4.944084922525359
-0.008860208333333335,2.355562063768113,4.944748224344469
-0.008857708333333332,2.359865680023046,4.944748224344469
-0.008855208333333333,2.36383824887375,4.945079875254025
-0.008852708333333334,2.367810817724453,4.944748224344469
-0.008850208333333335,2.371783386575158,4.945079875254025
-0.008847708333333332,2.375424908021641,4.945411526163578
-0.008845208333333333,2.379397476872344,4.944748224344469
-0.008842708333333334,2.383370045723048,4.944748224344469
-0.008840208333333332,2.387342614573756,4.945411526163579
